,ZCTA5CE10,NAME,CBSAFP
449,39565,"Gulfport-Biloxi-Pascagoula, MS",25060
450,42451,"Evansville, IN-KY",21780
451,42451,"Owensboro, KY",36980
452,42452,"Evansville, IN-KY",21780
453,42452,"Owensboro, KY",36980
454,42453,"Clarksville, TN-KY",17300
455,42453,"Madisonville, KY",31580
456,39567,"Gulfport-Biloxi-Pascagoula, MS",25060
457,48813,"Battle Creek, MI",12980
458,48813,"Lansing-East Lansing, MI",29620
459,42455,"Evansville, IN-KY",21780
460,42455,"Madisonville, KY",31580
461,42455,"Owensboro, KY",36980
462,48815,"Grand Rapids-Wyoming, MI",24340
463,48815,"Ionia, MI",26960
464,48816,"Detroit-Warren-Dearborn, MI",19820
465,42456,"Madisonville, KY",31580
466,42456,"Owensboro, KY",36980
467,42458,"Evansville, IN-KY",21780
468,48817,"Owosso, MI",37020
469,48817,"Flint, MI",22420
470,48818,"Grand Rapids-Wyoming, MI",24340
471,48818,"Alma, MI",10940
472,42459,,
473,95834,"Sacramento--Roseville--Arden-Arcade, CA",40900
474,95835,"Sacramento--Roseville--Arden-Arcade, CA",40900
475,95837,"Sacramento--Roseville--Arden-Arcade, CA",40900
476,95837,"Yuba City, CA",49700
477,95838,"Sacramento--Roseville--Arden-Arcade, CA",40900
478,95841,"Sacramento--Roseville--Arden-Arcade, CA",40900
479,95842,"Sacramento--Roseville--Arden-Arcade, CA",40900
480,95843,"Sacramento--Roseville--Arden-Arcade, CA",40900
481,95864,"Sacramento--Roseville--Arden-Arcade, CA",40900
482,95901,"Yuba City, CA",49700
483,95901,"Chico, CA",17020
484,95903,"Yuba City, CA",49700
485,95910,"Truckee-Grass Valley, CA",46020
486,95912,"Sacramento--Roseville--Arden-Arcade, CA",40900
487,95914,"Yuba City, CA",49700
488,95914,"Chico, CA",17020
489,95915,,
490,37351,"Chattanooga, TN-GA",16860
491,37352,"Tullahoma-Manchester, TN",46100
492,37352,"Shelbyville, TN",43180
493,33597,"Tampa-St. Petersburg-Clearwater, FL",45300
494,33597,"Orlando-Kissimmee-Sanford, FL",36740
495,33597,"The Villages, FL",45540
496,37353,"Chattanooga, TN-GA",16860
497,37353,"Cleveland, TN",17420
498,33598,"North Port-Sarasota-Bradenton, FL",35840
499,33598,"Tampa-St. Petersburg-Clearwater, FL",45300
500,37354,"Athens, TN",11940
501,33602,"Tampa-St. Petersburg-Clearwater, FL",45300
502,33603,"Tampa-St. Petersburg-Clearwater, FL",45300
503,37355,"Tullahoma-Manchester, TN",46100
504,37355,"Shelbyville, TN",43180
505,37355,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980
506,33604,"Tampa-St. Petersburg-Clearwater, FL",45300
507,37356,"Chattanooga, TN-GA",16860
508,37356,"Tullahoma-Manchester, TN",46100
509,37357,"McMinnville, TN",32660
510,37357,"Tullahoma-Manchester, TN",46100
511,37357,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980
512,37359,"Tullahoma-Manchester, TN",46100
513,37360,"Tullahoma-Manchester, TN",46100
514,37360,"Shelbyville, TN",43180
515,37361,"Cleveland, TN",17420
516,53526,"Madison, WI",31540
517,61842,"Champaign-Urbana, IL",16580
518,61842,"Bloomington, IL",14010
519,53527,"Madison, WI",31540
520,61843,"Champaign-Urbana, IL",16580
521,61843,"Bloomington, IL",14010
522,53528,"Madison, WI",31540
523,53529,"Madison, WI",31540
524,61844,"Danville, IL",19180
525,61844,"Champaign-Urbana, IL",16580
526,61845,"Champaign-Urbana, IL",16580
